Pre,M,N,D,PR,SI,Lm,IP,DG,WG,DSG,WSG,AR,LR_max,LR_min,A,RD,FH,G,DF,QS
,14.5,5.5,6,,225,"3,250",177,15,5.75,13.4,5.05,0.77,6.45,6.15,4.25,6,0.875,1.5,7.75,TSO-C62 
,16,4.4,8,10,190,"2,900",155,16.4,4.65,15.55,4.2,0.9,6.8,7.05,3.5,8,0.812,1.2,9.62,TSO-C62 
,16,4.4,8,12,190,"3,525",207,16.4,4.65,14.9,4.1,0.9,6.9,7.2,3.5,8,0.812,1.2,9.62,TSO-C62 
,17.5,5.75,8,,225,"3,375",145,18,6,17,5.26,0.83,7.88,7.54,4.25,8,0.875,1.4,9.75,TSO-C62 
,20,4.4,12,14,190,"6,000",265,20.4,4.65,19.8,4.1,0.9,8.75,9.05,3.5,12,0.812,1,13.624,TSO-C62 
,23.5,8,12,14,190,"9,425",212,24.25,8.35,23,7.5,0.72,10.55,10.1,6.25,12,1,2.145,14,TSO-C62 
,25.75,6.75,14,14,210,"10,300",237/199 ,26.35,7.05,25.15,6.35,0.87,11.6,11.2,5,14,1,1.7,16,TSO-C62 
,26,6.6,14,12,210,"8,600",185,26.32,6.92,24.02,6.08,0.88,11.6,11.15,5,14,1,1.5,16,TSO-C62 
,26,6.6,14,14,210,"10,000",225,26.32,6.92,24.02,6.08,0.88,11.6,11.15,5,14,1,1.7,16,TSO-C62 
,26,6.6,14,14,225,"10,000",225,26.32,6.92,24.02,6.08,0.88,11.6,11.15,5,14,1,1.7,16,TSO-C62 
,27,7.75,15,12,225,"9,650",200,27.7,8.1,25.4,7.15,0.77,12.2,11.75,6,15,1,1.65,17,TSO-C62 
,29,7.7,15,,225,"12,350",199,29.08,8.16,26.55,7.18,0.85,12.55,12.05,6,15,1,1.65,17,TSO-C62 
,29,7.7,15,16,225,"13,800",230,29.1,8.2,26.55,7.2,0.85,12.7,12.2,6,15,1,1.65,17,TSO-C62 
,30,8.8,15,16,225,"14,340",203,31.17,9.26,29.55,8.33,0.86,13.5,12.91,7,15,1.125,2.1,17.25,TSO-C62 
,32,8.8,16,10,190,"9,000",115,31.8,9.25,28.7,8.2,0.84,13.6,13,7,16,1.125,1.5,18.25,TSO-C62 
,32,8.8,16,12,190,"11,000",140,31.8,9.25,28.7,8.2,0.84,13.6,13,7,16,1.125,1.65,18.25,TSO-C62 
H,34,10,16,14,190,"13,400",130,34.85,10.4,32.95,9.35,0.9,14.75,14,7,16,1.125,2.15,18.25,TSO-C62 
,40,14,16,22,225,"25,630",157,41.02,14.56,36.08,12.48,0.86,17.3,16.4,11,16,1.625,2.95,19.25,TSO-C62 
H,40,14.5,19,24,225,"32,200",200,41.3,15.1,39.05,13.06,0.73,17.4,16.6,9.5,19,1.4,3.1,21.8,TSO-C62 
,42,17,18,26,235,"36,100",194,43.5,17.7,40.95,15.95,0.71,18.33,17.42,14,18,1.625,3.3,21.25,TSO-C62 
,43,17.5,17,32,235,"45,500",215,44.55,18.2,41.8,16.4,0.74,18.65,17.65,13.25,17,1.75,3.891,20.5,TSO-C62 
,45,16,20,28,225,"42,000",222,45.66,16.64,42.07,14.64,0.76,19.45,18.54,13.25,20,1.75,3.75,23.5,TSO-C62 
,45,18,17,36,235,"50,300",216,46.6,18.75,43.65,16.85,0.78,19.5,18.45,14,17,2.125,4.2,21.25,TSO-C62 
,46,17,20,30,225,"46,000",222,47.5,17.7,44.75,15.95,0.77,20.15,19.2,13.25,20,1.875,3.7,23.75,TSO-C62 
,47,15.75,22.1,32,279,"51,500",223,49.37,16.7,47.64,11.28,0.82,20.25,,12.75,22.1,1.75,3.75,25.62,TSS 5.3 
,49,17,20,30,225,"48,145",200,50.26,17.94,44.21,15.08,0.84,21.15,20.05,13.25,20,1.875,3.95,23.75,TSO-C62 
,49,17,20,32,225,"50,400",210,50.26,17.94,44.21,15.08,0.84,21.15,20.05,13.25,20,1.875,3.95,23.75,TSO-C62 
,50,20,22,26,235,"45,200",177,51.75,20.8,48.8,18.75,0.7,21.9,20.83,15,22,1.875,3.15,25.75,TSO-C62 
,50,20,22,32,235,"57,100",220,51.75,20.8,48.8,18.75,0.7,21.9,20.83,15,22,1.875,3.15,25.75,TSO-C62 
,52,21,22,36,235,"66,500",227,53.85,21.85,50.7,19.7,0.71,22.75,21.6,16,22,2.125,3.75,26.25,TSO-C62 