Pre,M,N,D,PR,SI,Lm,IP,BL,DoMax,DoMin,WMax,WMin,DsMax,WsMax,AR,LR_RL,LR_BL,A,D,FH,G,DF,QS
,25.0,6.75,14.0,16,,"11,000",240,"33,000",25.5,24.8,6.85,6.45,23.44,6.03,0.84,11.2,9.6,4,14,1,,16,
,25.0,6.75,14.0,18,,"13,000",300,"39,000",25.5,24.8,6.85,6.45,23.44,6.03,0.84,11.2,9.6,4,14,1,,16,
,25.0,6.75,,18,239 kt ,"13,000",300,"39,000",25.5,24.8,6.85,6.45,23.44,6.03,0.84,11.1,9.6,5,14,1,2,16,MIL-T-5041 
,25.0,7.75,10.0,12,,"6,900",115,"20,700",25,24.2,7.75,7.3,23.5,7,0.97,10.3,,6,10,1,1.95,12,
,25.5,8.0,14.0,18,230,"15,300",275,"45,900",25.5,24.8,8,7.55,23.14,6.84,0.72,11,9.2,5.75,14,1,,16,MIL-T-5041 
,25.5,8.0,14.0,20,250,"16,200",310,"48,600",25.5,24.8,8,7.55,23.14,6.84,0.72,11,9.2,5.75,14,1,2.1,16,MIL-T-5041 
*,25.5,8.75,10.0,12,,"7,140",85,"21,420",25.6,24.7,8.65,8.25,22.85,7.7,0.89,10.3,,5.5,10,0.91,1.5,11.82,
,25.75,6.75,14.0,14,210,"10,300",237,"30,900",25.75,25.1,6.75,6.35,23.65,5.95,0.87,11.2,,5,14,1,1.7,16,TSO-C62 
,25.75,6.75,14.0,16,210,"11,900",275,"35,700",25.75,25.1,6.75,6.35,23.65,5.95,0.87,11.2,,5,14,1,1.7,16,TSO-C62 
,26.0,6.6,,8,,"5,300",120,"15,900",25.75,25.05,6.65,6.25,23.55,5.85,0.88,11.2,8.9,5,14,1,1.4,16,
,26.0,6.6,,10,210,"6,900",155,"20,700",25.75,25.05,6.65,6.25,23.55,5.85,0.88,11.2,9.2,5,14,1,1.4,16,TSO-C62 
,26.0,6.6,,10,225,"6,900",155,"20,700",25.75,25.05,6.65,6.25,23.55,5.85,0.88,11.2,9.2,5,14,1,1.4,16,TSO-C62 
,26.0,6.6,,12,225,"8,600",185,"25,800",25.75,25.05,6.65,6.25,23.55,5.85,0.88,11.2,9.4,5,14,1,1.5,16,TSO-C62 
,26.0,6.6,,14,200,"10,000",225,"30,000",25.75,25.05,6.65,6.25,23.55,5.85,0.88,11.2,9.4,5,14,1,1.7,16,MIL-T-5041 
,26.0,6.6,,14,210,"10,000",225,"30,000",25.75,25.05,6.65,6.25,23.55,5.85,0.88,11.2,9.4,5,14,1,1.7,16,TSO-C62 
,26.0,6.6,,16,174 kt ,"12,000",270,"36,000",25.75,25.05,6.65,6.25,23.55,5.85,0.88,11.2,9.4,5,14,1,1.7,16,MIL-T-5041 
,26.0,6.75,14.0,14,,"10,300",230,"30,900",26,25.3,6.75,6.35,23.85,5.95,0.89,11.3,9.2,5,14,1,1.7,16,
,26.0,6.75,14.0,16,,"11,900",270,"35,700",26,25.3,6.75,6.35,23.85,5.95,0.89,11.3,9.2,5,14,1,1.9,16,
*,26.0,7.75,13.0,8,,"5,600",86,"16,800",26.3,25.3,7.9,7.45,23.9,6.95,0.84,11.1,8.6,6,13,0.7,1.31,14.4,
*,26.0,7.75,13.0,10,,"7,250",110,"21,750",26.3,25.5,7.9,7.45,23.9,6.95,0.84,11.1,8.6,6,13,0.7,1.5,14.4,
*,26.0,7.75,13.0,10,,"8,100",125,"24,300",26.3,25.5,7.9,7.45,23.9,6.95,0.84,11,,6.6,13,0.7,1.5,14.4,
*,26.0,7.75,13.0,12,,"8,950",135,"26,850",26.3,25.5,7.9,7.45,23.9,6.95,0.84,11,,6.6,13,0.7,1.5,14.4,
*,26.0,7.75,13.0,14,,"10,760",161,"32,280",26.3,25.5,7.9,7.45,23.9,6.95,0.84,11,,6.6,13,0.7,1.8,14.4,
,26.0,8.0,14.0,16,239 kt ,"12,700",235,"38,100",26,25.3,8,7.5,23.85,6,0.75,11.2,9.6,6.38,14,1.125,2.1,16.25,MIL-T-5041 
,26.0,8.0,14.0,18,,"14,480",265,"43,440",26,25.3,8,7.5,23.85,6,0.75,11.2,9.6,6.38,14,1.125,2.1,16.25,
,26.0,8.75,11.0,12,163 kt ,"10,070",105,"30,210",26.55,25.75,8.95,8.45,23.75,7.9,0.87,10.6,,7.25,11,0.875,1.6,12.75,
,26.0,8.75,11.0,16,163 kt ,"11,060",126,"33,180",26.55,25.75,8.95,8.45,23.75,7.9,0.87,10.4,,7.25,11,1.125,1.85,13.25,
,26.0,10.0,11.0,10,LS ,"9,700",110,"29,100",26,25.2,10,9.45,23.3,8.8,0.75,10.3,7.3,8,11,1,,13,MIL-T-5041 
,26.0,10.0,11.0,12,LS ,"9,700",140,"29,100",26,25.2,10,7.45,23.3,8.8,0.75,10.3,7.3,8,11,1,,13,MIL-T-5041 
,26.5,8.0,13.0,12,160,"9,475",149,"28,425",26.5,25.8,8,7.55,23.8,7,0.85,11.3,,6.5,13,1,1.551,15,TSO-C62 
H,26.5,8.0,14.0,14,210,"10,975",189,"32,925",26.5,25.9,8,7.55,25.25,7.2,0.85,11.3,,5.25,14,1,2,16,TSO-C62 
,27.0,7.75,15.0,10,210,"7,800",160,"23,400",27,26.3,7.75,7.3,24.85,6.85,0.77,11.8,,6,15,1,1.65,17,TSO-C62 
,27.0,7.75,15.0,10,225,"7,800",160,"23,400",27,26.3,7.75,7.3,24.85,6.85,0.77,11.8,,6,15,1,1.65,17,TSO-C62 
,27.0,7.75,15.0,12,225,"9,650",200,"28,950",27,26.3,7.75,7.3,24.85,6.85,0.77,11.8,,6,15,1,1.65,17,TSO-C62 
H,27.0,8.5,14.0,16,210,"13,300",207,"39,900",27,26.3,8.5,8,25.7,7.65,0.77,11.4,,5.5,14,0.95,2.15,15.9,TSO-C62 
,27.5,7.5,16.0,22,275,"20,500",400,"61,500",27.5,26.8,7.5,7,24.45,6.6,0.64,12.3,11,6,16,1.125,,18.25,
,27.5,8.9,12.5,6,,"4,300",50,"12,900",27.7,27.3,9,8.67,24.95,7.65,0.84,12,8.1,6.75,12.5,0.875,,14.25,
,27.75,8.75,14.5,24,259,"21,500",320,"64,500",27.75,27.05,8.75,8.25,24.6,7.48,0.76,12,10.5,6,14.5,1.2,2.38,16.9,MIL-T-5041 
,28.0,7.7,,10,,"7,400",125,"22,200",27.4,26.6,7.85,7.4,24.9,6.95,0.85,11.7,9.2,6,14,1,,16,
,28.0,7.7,,14,174 kt ,"11,000",195,"33,000",27.4,26.6,7.85,7.4,24.9,6.95,0.85,11.7,9.2,6,14,1,1.75,16,MIL-T-5041 
,28.0,9.0,12.0,8,160,"5,953",65,"17,859",28.35,27.36,9.45,8.86,25.39,8.07,0.87,11.4,8.8,6.63,12,0.752,1.38,13.5,TSO-C62 
,28.0,9.0,12.0,10,,"7,150",80,"21,450",28.35,27.36,9.45,8.86,25.39,8.07,0.87,11.4,8.8,6.63,12,0.752,1.5,13.5,
,28.0,9.0,12.0,12,160,"8,800",100,"26,400",28.35,27.36,9.45,8.86,25.39,8.07,0.87,11.4,8.8,6.63,12,0.752,2,13.5,TSO-C62 
,28.0,9.0,12.0,22,150 kt ,"16,650",235,"49,950",27.6,26.8,8.85,8.35,24.8,7.8,0.88,11.7,9.1,7,12,1.25,2.25,14.5,MIL-T-5041 
,28.0,9.0,14.0,22,187 Kt ,"18,100",280,"54,300",27.85,27.3,9.1,8.6,25.25,8,0.75,11.9,9.9,7.25,14,1.125,2.25,16.25,MIL-T-5041 
,29.0,6.25,16.0,14,,"11,050",230,"33,150",29.02,28.38,6.58,6.26,27.3,5,0.99,12.6,,5.12,16,0.875,1.75,17.75,MIL-T-5041 
,29.0,7.7,,12,,"9,800",160,"29,400",28.4,27.6,7.85,7.4,25.9,6.95,0.85,12.2,10.1,6,15,1,,17,
,29.0,7.7,,16,,"13,800",230,"41,400",28.4,27.6,7.85,7.4,25.9,6.95,0.85,12.2,10.1,6,15,1,2,17,
*,29.0,8.0,15.0,12,,"10,030",141,"30,090",29.7,29.1,8.1,7.9,27,7.1,0.91,12.6,,6.87,15,0.95,1.75,16.9,
H,29.0,9.0,15.0,16,210,"14,500",197,"43,500",29,28.2,9,8.5,27.7,8.55,0.74,12.3,,6,15,0.95,2.15,16.9,TSO-C62 
,29.0,11.0,10.0,4,,"2,350",20,"7,050",29,28.1,11,10.4,25.6,9.35,0.87,11.4,7.2,8.5,10,1,1.6,12,
,29.0,11.0,10.0,8,,"5,000",45,"15,000",29,28.1,11,10.4,25.6,9.35,0.87,11.4,7.2,8.5,10,1,1.6,12,
,29.0,11.0,10.0,10,,"7,070",60,"21,210",29,28.1,11,10.4,25.6,9.35,0.87,11.4,7.2,8.5,10,1,1.6,12,TSO-C62 
,29.0,11.0,10.0,10,160,"7,070",60,"21,210",29,28.1,11,10.4,25.6,9.35,0.87,11.4,7.2,8.5,10,1,1.6,12,MIL-T-5041 
,30.0,6.6,,14,225,"12,950",320,"38,850",30.32,29.4,6.5,5.95,28.2,5.5,,,,5,20,1,1.75,22,MIL-T-5041 
*,30.0,7.7,,12,,"9,410",165,"28,230",29.4,28.6,7.85,7.4,26.9,6.95,0.85,12.7,10.8,6,16,1,1.65,18,
*,30.0,7.7,,14,,"11,990",186,"35,970",29.4,28.6,7.85,7.4,26.9,6.95,0.85,12.7,10.8,6,16,1,1.65,18,
*,30.0,7.7,,18,,"16,510",270,"49,530",29.4,28.6,7.85,7.4,26.9,6.95,0.85,12.7,10.8,6,16,1,2.15,18,
*,30.0,7.7,,22,,"21,290",360,"63,870",29.4,28.6,7.85,7.4,26.9,6.95,0.85,12.7,10.8,6,16,1,,18,
*,30.0,7.7,,26,,"24,090",394,"72,270",29.4,28.6,7.85,7.4,26.9,6.95,0.85,12.7,10.8,6,16,1,,18,
,30.0,8.0,,26,,"24,100",360,"72,300",29.8,29.4,7.96,7.76,26.9,6.95,0.86,12.8,10.8,6,16,1,,,
,30.0,8.8,,12,,"10,200",139,"30,600",30.3,29.5,8.9,8.3,27.35,7.85,0.87,12.9,,7,15,1.125,1.7,17.25,
,30.0,8.8,,14,,"12,450",177,"37,350",30.3,29.5,8.9,8.3,27.35,7.85,0.87,12.9,,7,15,1.125,1.7,17.25,
,30.0,8.8,,16,225,"14,200",199,"42,600",30.3,29.5,8.9,8.3,27.35,7.85,0.87,12.9,,7,15,1.125,2.1,17.25,TSO-C62 
,30.0,8.8,,22,217 kt ,"21,000",295,"63,000",30.4,29.5,8.9,8.35,27.4,7.9,0.87,12.9,,7,15,1.125,2.4,17.25,MIL-T-5041 
*,30.0,9.0,15.0,12,160,"12,190",130,"36,570",30,29.3,9.57,9.13,27.3,8.4,0.78,12.6,10.2,8,15,1,1.75,17,
,30.0,9.5,14.0,16,210,"13,700",177,"41,100",30,29.2,9.5,8.95,28.3,8.55,0.84,12.7,,7,14,1.125,2.25,16.25,TSO-C62 
H,30.0,9.5,16.0,16,210,"15,350",202,"46,050",30,29.35,9.5,8.95,28.6,8.55,0.74,12.8,,6.25,16,1.1,2.2,18.4,TSO-C62 
,30.0,11.0,14.0,4,,"3,500",35,"10,500",30,29.2,11,10.4,27.1,9.7,0.73,12.6,8.2,9,14,0.75,,15.5,
,30.0,11.5,14.5,20,,"20,960",220,"62,880",29.75,28.75,11.5,11,27,10.1,0.66,12.2,10.2,9.75,14.5,1.25,2.75,17,
,30.0,11.5,14.5,24,208 kt ,"25,000",245,"75,000",29.75,28.75,11.5,11,27,10.1,0.66,12.5,10.4,9.75,14.5,1.25,2.75,17,MIL-T-5041 
,30.0,11.5,14.5,24,215 kt ,"25,000",243,"75,000",29.75,28.75,11.5,11,27,10.1,0.66,12.5,10.4,9.75,14.5,1.25,2.75,17,MIL-T-5041 
,30.0,11.5,14.5,26,248,"25,000",265,"75,000",29.75,28.75,11.5,11,27,10.1,0.66,12.5,10.4,9.75,14.5,1.25,2.75,17,MIL-T-5041 
,30.0,11.5,14.5,26,259,"26,600",265,"78,000",29.75,28.75,11.5,11,27,10.1,0.66,12.5,10.4,9.75,14.5,1.25,2.75,17,MIL-T-5041 
,30.0,11.5,14.5,26,220 Kt ,"25,000",245,"78,000",29.75,28.75,11.5,11,27,10.1,0.66,12.5,10.4,9.75,14.5,1.25,2.75,17,MiL-T-5041 
,31.0,9.75,13.0,12,160,"9,075",113,"26,475",30,29.25,9.5,8.95,28.3,8.55,0.89,12.6,,7.25,13,1.125,1.8,15.25,TSO-C62 
H,31.0,9.75,13.0,12,190,"9,350",90,"28,050",31,30.1,9.75,9.2,29.4,8.8,0.87,12.6,9.7,6.5,13,1,2.05,15,TSO-C62 
,31.0,9.75,14.0,12,190,"11,100",115,"33,300",31,30.1,9.75,9.2,29.4,8.8,0.87,12.9,,8,14,1,2.15,16,TSO-C62 
*,31.0,10.75,14.0,20,,"18,710",186,"56,130",31.42,30.6,11.06,10.43,28.27,9.72,0.79,13.2,,9,14,1.25,3.25,16.5,
,31.0,11.5,16.0,22,275,"23,300",275,"69,900",31,30.2,11.5,10.8,28.3,10.1,0.66,13.2,11,9,16,1.25,2.65,18.5,MIL-T-5041 
H,31.0,13.0,12.0,20,225,"17,200",155,"51,600",31,30.1,13,12.3,27.6,11.45,0.73,12.4,,8,12,1.2,2.7,14.4,TSO-C62 
H,31.0,13.0,12.0,20,235,"17,200",155,"51,600",31,30.1,13,12.3,27.6,11.45,0.73,12.4,,8,12,1.2,2.7,14.4,TSO-C62 
,32.0,8.8,,10,,"9,000",115,"27,000",31,30.05,8.9,8.35,28.05,7.9,0.84,13.3,10.9,7,16,1.125,1.52,18.25,
,32.0,8.8,,12,160,"11,000",140,"33,000",31,30.05,8.9,8.35,28.05,7.9,0.84,13.3,10.9,7,16,1.125,1.65,18.25,MIL-T-5041 
,32.0,8.8,,14,210,"13,000",170,"39,000",31,30.05,8.9,8.35,28.05,7.9,0.84,13.3,10.9,7,16,1.125,1.75,18.25,
,32.0,8.8,,16,160,"15,100",200,"45,300",31,30.05,8.9,8.35,28.05,7.9,0.84,13.3,10.9,7,16,1.125,1.9,18.25,MIL-T-5041 
,32.0,8.8,,18,210,"17,025",242,"51,075",31,30.05,8.9,8.35,28.05,7.9,0.84,13.3,10.9,7,16,1.25,2.53,18.5,TSO-C62 
,32.0,8.8,,20,250,"23,700",300,"71,100",31,30.05,8.9,8.35,28.05,7.9,0.84,13.3,10.9,7,16,1.225,,18.25,MIL-T-5041 
,32.0,8.8,,24,,"23,300",335,"69,900",31,30.05,8.9,8.35,28.05,7.9,0.84,13.3,10.9,7,16,1.125,2.75,18.25,MIL-T-5041 
,32.0,9.75,18.0,22,,"23,700",345,"71,100",32,31.3,9.75,9.2,29.5,8.6,0.72,14.1,,7.5,18,1.25,2.55,20.5,MIL-T-5041 
*,32.0,10.75,14.0,12,160,"10,760",90,"32,280",32.55,31.65,10.95,10.55,28.55,9.5,0.84,13.2,,9,14,1.5,2,17,TSO-C62 
,32.0,11.5,15.0,12,210,"11,200",120,"33,600",32,31.1,11.5,10.8,29,10.5,0.74,13.5,10.3,9,15,1.25,1.9,17.5,TSO-C62 
,32.0,11.5,15.0,12,225,"11,200",120,"33,600",32,31.1,11.5,10.8,29,10.5,0.74,13.5,10.3,9,15,1.25,1.9,17.5,TSO-C62 
*,33.5,10.75,15.0,12,160,"12,200",100,"35,350",33.5,32.65,10.75,10.15,30.2,9.15,0.87,13.7,,8,15,1,1.9,17,TSO-C62 
,34.0,9.25,16.0,16,,"15,500",155,"46,500",34,33.15,9.25,8.75,30.75,8.15,0.98,14.3,10.4,7,16,1.125,2.1,18.25,
,34.0,9.25,16.0,18,210,"17,800",190,"53,400",34,33.15,9.25,8.75,30.75,8.15,0.98,14.3,10.4,7,16,1.125,2.3,18.25,TSO-C62 
H,34.0,9.25,18.0,18,,"19,400",213,"58,200",34,33.2,9.25,8.75,30.75,8.15,0.87,14.5,,6,18,1.2,2.5,20.4,
,34.0,9.9,,12,,"11,200",115,"33,600",33.4,32.45,10.2,9.55,30.1,8.8,0.86,14.2,10.7,8,16,1.25,,18.5,
,34.0,9.9,,14,160,"14,000",150,"42,000",33.4,32.45,10.2,9.55,30.1,8.8,0.86,14.2,10.7,8,16,1.25,,18.5,MIL-T-5041 
,34.0,10.75,16.0,10,190,"10,870",80,"32,610",34.5,33.65,10.45,9.9,31.15,8.9,0.89,14.4,10.6,8.25,16,1.05,1.85,18.5,TSO-C62 
,34.0,10.75,16.0,12,190,"13,000",96,"39,000",34.5,33.65,10.45,9.9,31.15,8.9,0.89,14.4,10.4,8.25,16,1.05,1.85,18.1,TSO-C62 
,34.0,10.75,16.0,14,190,"15,100",110,"45,300",34.5,33.65,10.45,9.9,31.15,8.9,0.89,14.4,10.4,8.25,16,1.125,2.14,18.5,TSO-C62 
,34.0,10.75,16.0,16,210,"16,500",145,"49,500",34.45,33.65,10.45,9.8,31.1,8.85,0.88,14.15,,8.25,16,1.125,2.34,18.5,TSO-C62 
,34.0,11.0,,18,,"16,100",145,"48,300",33.4,32.6,11.3,10.6,29.9,9.95,0.87,13.9,10,9,14,1.5,,17,
,34.0,11.0,,20,,"18,300",165,"54,900",33.4,32.6,11.3,10.6,29.9,9.95,0.87,13.9,10,9,14,1.5,,17,
,34.0,11.0,,22,225,"20,500",185,"61,500",33.4,32.6,11.3,10.6,29.9,9.95,0.87,13.9,10,9,14,1.5,2.7,17,TSO-C62 
*,34.0,11.75,14.0,12,,"12,010",80,"36,030",34.65,33.45,12,11.4,30.9,10.2,0.86,14,,9.13,14,1.1,1.75,16.2,
,34.0,12.0,12.0,14,190,"11,300",85,"33,900",34,33.1,12,11.35,30,10.55,0.92,13.4,8.3,9,12,1.25,,14.5,TSO-C62 
,34.0,14.0,12.0,24,174 kt ,"17,300",155,"51,900",34,32.6,14,13.2,30.5,12.35,0.79,13.8,,11,12,1.375,3,14.75,MIL-T-5041 
,34.5,9.75,18.0,26,203 kt ,"32,000",360,"96,000",34.5,33.7,9.75,9.15,31.55,8.4,0.85,14.9,11.6,7.5,18,1.25,2.55,20.5,
,34.5,9.75,18.0,26,225 kt ,"30,100",340,"90,300",34.5,33.7,9.75,9.15,31.55,8.4,0.85,14.9,11.6,7.5,18,1.25,2.55,20.5,MIL-T-5041 
H,34.5,12.0,14.0,14,,"13,100",94,"39,300",34.5,33.7,12,11.4,30.9,10.6,0.85,14,,8,14,0.85,2.25,15.7,
*,35.0,9.0,17.0,14,,"14,000",150,"42,000",35,33.9,9,8.7,31.7,8.3,1,,,7.25,17,1.1,2.25,19.2,
*,35.0,9.0,17.0,16,,"16,310",170,"48,930",35,33.9,9,8.7,31.7,8.3,1,,,7.25,17,1.1,2.25,19.2,
*,35.0,9.0,17.0,18,,"18,730",190,"56,190",35,33.9,9,8.7,31.7,8.3,1,,,7.25,17,1.1,2.52,19.2,
,35.0,10.0,17.0,26,,"29,500",280,"88,500",35.55,34.55,10.2,9.7,32.2,9,0.91,15.1,,8.62,17,1.375,2.5,19.75,
,35.0,11.5,16.0,22,230 kt ,"23,000",210,"48,900",35,34.1,11.5,10.9,31.8,10.1,0.83,14.8,9.7,9,16,1.375,,18.75,MIL-T-5041 
*,36.0,10.0,18.0,16,,"18,010",165,"54,030",36.6,35.8,10.24,9.84,33.3,9.1,0.91,15.6,,8.63,18,1.1,2.38,20.2,
*,36.0,10.0,18.0,18,,"21,890",190,"65,670",36.6,35.8,10.24,9.84,33.3,9.1,0.91,15.6,,8.63,18,1.1,2.38,20.2,
*,36.0,10.0,18.0,20,,"23,650",206,"70,950",36.6,35.8,10.24,9.84,33.3,9.1,0.91,15.6,,8.63,18,1.1,2.38,20.2,
,36.0,10.75,16.5,16,160,"23,000",140,"69,000",36,35.2,10.8,10.4,32.1,8.75,0.9,15.1,,9,16.5,1.15,2.13,18.8,
,36.0,11.0,,22,200,"23,300",200,"69,900",35.1,34,11.5,10.8,31.65,10.1,0.83,14.7,11.3,9,16,1.375,2.8,18.75,MIL-T-5041 
,36.0,11.0,,22,250,"23,300",200,"69,900",35.1,34,11.5,10.8,31.65,10.1,0.83,14.7,11.3,9,16,1.375,2.8,18.75,
,36.0,11.0,,24,201,"26,500",235,"78,000",35.1,34,11.5,10.8,31.65,10.1,0.83,14.7,11.3,9,16,1.375,2.9,18.75,MIL-T-5041 
,36.0,11.0,,28,200,"31,500",290,"94,500",35.1,34,11.5,10.8,31.65,10.1,0.83,14.7,11.3,9,16,1.375,2.8,18.75,MIL-T-5041 
H,36.0,12.0,18.0,18,210,"21,525",177,"64,575",36,35.2,12,11.35,34.2,10.8,0.75,15.15,,7.75,18,1.2,2.4,20.4,TSO-C62 
,36.0,11.0,18.0,30,262,"35,800",317,"107,400",35.8,34.9,10.4,9.85,34.1,9.35,0.86,15.25,,8.5,18,1.75,3.2,21.5,MIL-T-5041 
*,36.0,13.0,12.0,6,,"6,350",29,"19,050",36.5,35.5,13.15,12.44,32.1,11.2,0.93,15.6,,8.27,12,1,1.1,14,
,37.0,11.5,16.0,28,219,"31,200",245,"93,600",37,36.1,11.5,10.9,33.2,10.1,0.72,15.3,11.1,9,16,1.375,3.15,18.75,MIL-T-5041 
,37.0,11.75,16.0,10,180,"10,400",94,"31,200",37,36.22,11.8,11.2,33.3,10.4,0.89,15,,10,16,1,1.63,18,
,37.0,11.75,16.0,12,,"13,800",165,"41,400",37,36.22,11.8,11.2,33.3,10.4,0.89,15,,10,16,1,1.63,18,
,37.0,13.0,16.0,20,,"22,200",165,"66,600",37,36.1,13,12.3,33.2,11.45,0.81,15.4,10.8,9,16,1.375,2.6,18.75,
,37.0,13.0,16.0,26,225,"29,300",220,"87,900",37,36.1,13,12.3,33.2,11.45,0.81,15.4,10.8,9,16,1.625,3.2,19.25,TSO-C62 
,37.0,13.0,16.0,28,225,"32,000",240,"96,000",37,36.1,13,12.3,33.2,11.45,0.81,15.4,10.8,9,16,1.625,3.2,19.25,TSO-C62 
,37.0,14.0,14.0,24,225,"25,000",160,"75,000",37,36.05,14,13.3,32.85,12,0.83,15.1,10.4,11,14,1.5,3,17,TSO-C62 
H,37.0,14.0,15.0,20,225,"22,000",135,"66,000",37,36.1,14,13.3,33.05,12.3,0.79,15,11,9,15,1.3,2.7,17.6,
H,37.0,14.0,15.0,22,225,"24,100",145,"72,300",37,36.1,14,13.3,33.05,12.3,0.79,15,11,9,15,1.3,2.8,17.6,TSO-C62 
